City,year_month,year,month,days_in_month,rows,available_count,available_share,demand_proxy,median_listing_price,revenue_per_listing,is_complete_month
Hawaii,2025-09,2025,9,30,484844,218877,0.4514379883013918,0.5485620116986082,233.0,3834.4484617732714,False
Hawaii,2025-10,2025,10,31,1037167,539184,0.5198622786880029,0.48013772131199706,233.0,3468.0347610365548,True
Hawaii,2025-11,2025,11,30,1003710,588397,0.5862221159498261,0.4137778840501739,233.0,2892.3074095107154,True
Hawaii,2025-12,2025,12,31,1037167,588099,0.567024403977373,0.43297559602262703,233.0,3127.382730071435,True
Hawaii,2026-01,2026,1,31,1037167,581491,0.5606532024254531,0.43934679757454687,233.0,3173.401918880952,True
Hawaii,2026-02,2026,2,28,936796,531516,0.5673764618977878,0.4326235381022122,233.0,2822.4359625788325,True
Hawaii,2026-03,2026,3,31,1037167,677991,0.6536951137087855,0.3463048862912145,233.0,2501.360193681442,True
Hawaii,2026-04,2026,4,30,1003710,699296,0.6967112014426478,0.30328879855735225,233.0,2119.9887019158923,True
Hawaii,2026-05,2026,5,31,1037167,762388,0.735067737403909,0.26493226259609104,233.0,1913.6057327315657,True
Hawaii,2026-06,2026,6,30,1003710,704748,0.7021430492871447,0.29785695071285534,233.0,2082.0200854828586,True
Hawaii,2026-07,2026,7,31,1037167,716608,0.6909282690251425,0.3090717309748575,233.0,2232.425112831396,True
Hawaii,2026-08,2026,8,31,1037167,723919,0.6979772784903492,0.3020227215096508,233.0,2181.5101174642077,True
Hawaii,2026-09,2026,9,30,518879,357600,0.6891780164547033,0.31082198354529667,233.0,2172.6456649816237,False
Los Angeles,2025-09,2025,9,30,1314382,662686,0.5041806719812049,0.49581932801879514,155.0,2305.559875287397,True
Los Angeles,2025-10,2025,10,31,1422466,891144,0.6264782427137099,0.3735217572862901,155.0,1794.772043760624,True
Los Angeles,2025-11,2025,11,30,1376580,937354,0.6809295500443128,0.31907044995568723,155.0,1483.6775922939457,True
Los Angeles,2025-12,2025,12,31,1422466,911047,0.6404701412898446,0.3595298587101554,155.0,1727.5409711022967,True
Los Angeles,2026-01,2026,1,31,1422466,941283,0.6617261853710388,0.3382738146289612,155.0,1625.4056792921588,True
Los Angeles,2026-02,2026,2,28,1284808,862207,0.671078480208716,0.32892151979128403,155.0,1427.5193958941727,True
Los Angeles,2026-03,2026,3,31,1422466,853507,0.6000192623233174,0.39998073767668263,155.0,1921.9074445364602,True
Los Angeles,2026-04,2026,4,30,1376580,830579,0.6033641343038545,0.3966358656961455,155.0,1844.3567754870764,True
Los Angeles,2026-05,2026,5,31,1422466,851566,0.5986547305875852,0.4013452694124148,155.0,1928.464019526653,True
Los Angeles,2026-06,2026,6,30,1376580,649326,0.47169507039184067,0.5283049296081593,155.0,2456.617922677941,True
Los Angeles,2026-07,2026,7,31,1422466,673033,0.47314522807575016,0.5268547719242498,155.0,2531.5371790960203,True
Los Angeles,2026-08,2026,8,31,1422466,676949,0.47589819370023606,0.524101806299764,155.0,2518.309179270366,True
Los Angeles,2026-09,2026,9,30,62234,23669,0.3803226532120706,0.6196773467879294,155.0,2881.4996625638714,False
Nashville,2025-09,2025,9,30,67477,29165,0.4322213494968656,0.5677786505031344,158.0,2691.270803384857,False
Nashville,2025-10,2025,10,31,292733,144062,0.49212763849651386,0.5078723615034861,158.0,2487.558826644075,True
Nashville,2025-11,2025,11,30,283290,195237,0.6891771682727946,0.3108228317272054,158.0,1473.3002223869535,True
Nashville,2025-12,2025,12,31,292733,226390,0.7733668564869693,0.22663314351303065,158.0,1110.049136926824,True
Nashville,2026-01,2026,1,31,292733,234857,0.8022908247447332,0.19770917525526677,158.0,968.3795404002967,True
Nashville,2026-02,2026,2,28,264404,211760,0.800895599158863,0.199104400841137,158.0,880.8378693211902,True
Nashville,2026-03,2026,3,31,292733,225889,0.7716553992887717,0.2283446007112283,158.0,1118.431854283596,True
Nashville,2026-04,2026,4,30,283290,204693,0.7225563909774436,0.2774436090225564,158.0,1315.0827067669172,True
Nashville,2026-05,2026,5,31,292733,211442,0.7223032592840575,0.2776967407159425,158.0,1360.1586360266865,True
Nashville,2026-06,2026,6,30,283290,192761,0.6804370080129902,0.31956299198700977,158.0,1514.7285820184263,True
Nashville,2026-07,2026,7,31,292733,178674,0.6103650767081266,0.38963492329187344,158.0,1908.431854283596,True
Nashville,2026-08,2026,8,31,292733,178683,0.6103958214482139,0.3896041785517861,158.0,1908.2812665466483,True
Nashville,2026-09,2026,9,30,215814,128612,0.5959390957027811,0.40406090429721886,158.0,1915.2486863688173,False
New York,2025-10,2025,10,31,1085967,316126,0.2911009266395756,0.7088990733604243,154.0,3384.284176222666,True
New York,2025-11,2025,11,30,1083330,457636,0.42243453056778635,0.5775654694322137,154.0,2668.3524687768268,True
New York,2025-12,2025,12,31,1119441,522215,0.4664962244548842,0.5335037755451157,154.0,2546.9470244523823,True
New York,2026-01,2026,1,31,1119441,570961,0.5100411723351208,0.4899588276648792,154.0,2339.063443272133,True
New York,2026-02,2026,2,28,1011108,522600,0.5168587331917065,0.4831412668082935,154.0,2083.3051424773616,True
New York,2026-03,2026,3,31,1119441,575473,0.5140717554565181,0.48592824454348194,154.0,2319.8214394505826,True
New York,2026-04,2026,4,30,1083330,504105,0.4653291240896126,0.5346708759103874,154.0,2470.17944670599,True
New York,2026-05,2026,5,31,1119441,525015,0.46899747284582216,0.5310025271541778,154.0,2535.006064634045,True
New York,2026-06,2026,6,30,1083330,503605,0.46486758420795143,0.5351324157920485,154.0,2472.311760959264,True
New York,2026-07,2026,7,31,1119441,449843,0.4018460999731116,0.5981539000268884,154.0,2855.586718728365,True
New York,2026-08,2026,8,31,1119441,458408,0.4094972401403915,0.5905027598596084,154.0,2819.0601755697708,True
New York,2026-09,2026,9,30,1083330,441516,0.4075544847830301,0.5924455152169699,154.0,2737.098280302401,True
New York,2026-10,2026,10,31,33476,11605,0.34666626837137055,0.6533337316286294,154.0,3119.015234795077,False
San Francisco,2025-09,2025,9,30,233400,79416,0.34025706940874034,0.6597429305912597,170.0,3364.6889460154243,True
San Francisco,2025-10,2025,10,31,241180,113094,0.4689194792271333,0.5310805207728667,170.0,2798.7943444730076,True
San Francisco,2025-11,2025,11,30,233400,133747,0.5730377035132819,0.42696229648671813,170.0,2177.507712082262,True
San Francisco,2025-12,2025,12,31,241180,140437,0.5822912347624181,0.41770876523758194,170.0,2201.325192802057,True
San Francisco,2026-01,2026,1,31,241180,146394,0.6069906294054234,0.39300937059457663,170.0,2071.1593830334186,True
San Francisco,2026-02,2026,2,28,217840,135902,0.6238615497612927,0.3761384502387073,170.0,1790.4190231362468,True
San Francisco,2026-03,2026,3,31,241180,136551,0.5661787876274982,0.4338212123725018,170.0,2286.2377892030845,True
San Francisco,2026-04,2026,4,30,233400,134210,0.5750214224507284,0.4249785775492716,170.0,2167.390745501285,True
San Francisco,2026-05,2026,5,31,241180,136041,0.5640641844265694,0.43593581557343064,170.0,2297.3817480719795,True
San Francisco,2026-06,2026,6,30,233400,106074,0.45447300771208227,0.5455269922879178,170.0,2782.187660668381,True
San Francisco,2026-07,2026,7,31,241180,108884,0.4514636371175056,0.5485363628824944,170.0,2890.7866323907456,True
San Francisco,2026-08,2026,8,31,241180,106220,0.4404179451032424,0.5595820548967576,170.0,2948.9974293059126,True
